blend,rich,bitter,sour,sweet,smell
colo6gua3bra1,1,2,3,2,3
colo6man4,4,5,1,3,3
colo6man3bra1,5,4,2,1,3
bra6man3colo1,4,4,2,1,4
colo4bra3moch2man1,4,4,2,2,3
colo4bra3moch3,3,4,3,3,3
colo4man4gua2,5,4,1,1,5
colo4bra2man2gua2,5,3,4,3,4
bra6colo3man1,3,4,3,2,4
moch5kili3bra2,2,2,4,3,2
colo4bra3moch2kili1,4,3,4,1,3
colo4bra3kili3,4,2,5,2,3
bra4man2colo2kili1gua1,3,5,3,1,2
bra4colo3kili2moch1,5,5,3,2,2
colo6bra2gua2,4,3,4,3,4
colo6kili4,2,4,4,3,2
colo4gua2bra2kili2,3,4,2,4,3
moch5colo2bra2kili1,5,3,4,1,5
bra6moch4,4,2,4,2,3
bra4colo4kili2,3,2,4,2,3
bra4colo3kili3,2,1,4,1,3
bra4colo3man2kili1,5,3,2,3,4